Model_Title,Model_Name,Model_Description,Model_Type,Model_Download_link_Type,Model_Download_link,VAE_Download_link_Type,VAE_Download_link
Lewd Diffusion 70k 1e [950d323b] (torrent),Lewd Diffusion 70k 1e [950d323b] (torrent),"LD-70k-1e-pruned.ckpt
70k explicit from danbooru
1 epoch
Base model Waifu Diffusion v1.2
Dataset: https://drive.google.com/drive/folders/1f_BYi88LLTZUzBHkUz8PDgw6l7M7swkd?usp=sharing
Dataset stats: https://docs.google.com/spreadsheets/d/1BzNSXyT4fhiM64DwIJSCyAXuhRQ9fkxqcr-t1frIYkc/edit",model,torrent,magnet:?xt=urn:btih:fca8782a5a9861a6beb1aa3b48938bd1da1a665e&dn=LD-70k-1e-pruned.ckpt&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2810%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fzecircle.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fyahor.ftp.sh%3A6969%2Fannounce&tr=udp%3A%2F%2Fvibe.sleepyinternetfun.xyz%3A1738%2Fannounce&tr=udp%3A%2F%2Fv2.iperson.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fuploads.gamecoast.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker1.bt.moack.co.kr%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tcp.exchange%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.swateam.org.uk%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.publictracker.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.bt4g.com%3A2095%2Fannounce,,
Lewd Diffusion v0 [07734b46] (torrent),Lewd Diffusion v0 [07734b46] (torrent),"Lewd-diffusion-pruned.ckpt
Danbooru21 NSFW epoch0
40K Images
1 Full Epoch
Base model Waifu Diffusion v1.2
Dataset: https://drive.google.com/drive/folders/1f_BYi88LLTZUzBHkUz8PDgw6l7M7swkd?usp=sharing",model,torrent,magnet:?xt=urn:btih:f6976fbe3b9f93469bb62eb0c4950643b09f1f83&dn=Lewd-diffusion-pruned.ckpt&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2810%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fzecircle.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fyahor.ftp.sh%3A6969%2Fannounce&tr=udp%3A%2F%2Fvibe.sleepyinternetfun.xyz%3A1738%2Fannounce&tr=udp%3A%2F%2Fv2.iperson.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fuploads.gamecoast.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker1.bt.moack.co.kr%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tcp.exchange%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.swateam.org.uk%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.publictracker.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.bt4g.com%3A2095%2Fannounce,,
Yiffy yiffy-e18.ckpt [50ad914b] (direct),Yiffy yiffy-e18.ckpt [50ad914b] (direct),"Based on yiffy-e15, trained for a further 3 epochs using a dataset of 210k images from e621.

This will likely be the last epoch for quite some time, because until further improvements to other parts of the network (such as a custom VAE, variable res, etc), we think that further training is not necessary because the model has converged on a decent style for now.
IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<",model,direct,https://sexy.canine.wf/file/yiffy-ckpt/yiffy-e18.ckpt,,
Yiffy yiffy-e18.ckpt [50ad914b] (torrent),Yiffy yiffy-e18.ckpt [50ad914b] (torrent),"Based on yiffy-e15, trained for a further 3 epochs using a dataset of 210k images from e621.

This will likely be the last epoch for quite some time, because until further improvements to other parts of the network (such as a custom VAE, variable res, etc), we think that further training is not necessary because the model has converged on a decent style for now.
IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<",model,torrent,magnet:?xt=urn:btih:b177dd04ae7062b541c82ad26f897e0a9fa514f4&dn=yiffy-e18.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,,
Yiffy yiffy-e15.ckpt [4bb305c0] (direct),Yiffy yiffy-e15.ckpt [4bb305c0] (direct),"Based on yiffy-e13, trained for a further 2 epochs using a dataset of 210k images from e621.

IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<",model,direct,https://sexy.canine.wf/file/yiffy-ckpt/yiffy-e15.ckpt,,
Yiffy yiffy-e15.ckpt [4bb305c0] (generate),Yiffy yiffy-e15.ckpt [4bb305c0] (generate),"Based on yiffy-e13, trained for a further 2 epochs using a dataset of 210k images from e621.

IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<",model,generate,https://pixeldrain.com/u/qkRKKpqg,,
Yiffy yiffy-e15.ckpt [4bb305c0] (direct),Yiffy yiffy-e15.ckpt [4bb305c0] (direct),"Based on yiffy-e13, trained for a further 2 epochs using a dataset of 210k images from e621.

IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<",model,direct,https://iwiftp.yerf.org/Furry/Software/Stable%20Diffusion%20Furry%20Finetune%20Models/Finetune%20models/yiffy-e15.ckpt,,
Yiffy yiffy-e15.ckpt [4bb305c0] (torrent),Yiffy yiffy-e15.ckpt [4bb305c0] (torrent),"Based on yiffy-e13, trained for a further 2 epochs using a dataset of 210k images from e621.

IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<",model,torrent,magnet:?xt=urn:btih:2b8d5f308244eddf56d4a350df84d63045e65dd6&dn=yiffy-e15.ckpt&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2810%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fzecircle.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fyahor.ftp.sh%3A6969%2Fannounce&tr=udp%3A%2F%2Fvibe.sleepyinternetfun.xyz%3A1738%2Fannounce&tr=udp%3A%2F%2Fv2.iperson.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fuploads.gamecoast.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker1.bt.moack.co.kr%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tcp.exchange%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.swateam.org.uk%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.publictracker.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.bt4g.com%3A2095%2Fannounce,,
Yiffy yiffy-e13.ckpt [778b38ae] (direct),Yiffy yiffy-e13.ckpt [778b38ae] (direct),"first 4 epochs were trained on ~70k images with lama infilling (the cause of all of our headaches, because the network found a pattern in the edges and started replicating it everywhere)
next 6 epochs were trained on ~120k images with random cropping and a lower LR
last epochs were done on a different dataset, not bigger than 150k
IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<

Tag counts https://mega.nz/file/ZkkTEYJY#X_j191NtHJRp0BKJusTqmWrs1-AdAILy99mqSAMpWbo or https://pixeldrain.com/u/TkwJU3WG",model,direct,https://iwiftp.yerf.org/Furry/Software/Stable%20Diffusion%20Furry%20Finetune%20Models/Finetune%20models/yiffy-e13.ckpt,,
Yiffy yiffy-e13.ckpt [778b38ae] (torrent),Yiffy yiffy-e13.ckpt [778b38ae] (torrent),"first 4 epochs were trained on ~70k images with lama infilling (the cause of all of our headaches, because the network found a pattern in the edges and started replicating it everywhere)
next 6 epochs were trained on ~120k images with random cropping and a lower LR
last epochs were done on a different dataset, not bigger than 150k
IMPORTANT NOTE: during training explicit was misspelled as explict. Using the misspelled version results in better cocks. Sorry :<

Tag counts https://mega.nz/file/ZkkTEYJY#X_j191NtHJRp0BKJusTqmWrs1-AdAILy99mqSAMpWbo orhttps://pixeldrain.com/u/TkwJU3WGG",model,torrent,magnet:?xt=urn:btih:6d749325cbdcf1fc044483fb0d53c233b60735dc&dn=yiffy-e13.ckpt&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2810%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fzecircle.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fyahor.ftp.sh%3A6969%2Fannounce&tr=udp%3A%2F%2Fvibe.sleepyinternetfun.xyz%3A1738%2Fannounce&tr=udp%3A%2F%2Fv2.iperson.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fuploads.gamecoast.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker1.bt.moack.co.kr%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tcp.exchange%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.swateam.org.uk%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.publictracker.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.bt4g.com%3A2095%2Fannounce,,
SnackBar-General-V1-E11 [16d5a5c7] (generate),SnackBar-General-V1-E11 [16d5a5c7] (generate),"This model was trained with waifu diffusion using the top 300k images on e621 with certain tags. Use e621 tags in prompts with underscores. You might get better results if you order them as follows:

[safe/questionable/explicit]_content [artist] [copyrights] [characters] [species] [general]

For better results, set 'Stop At last layers of CLIP model' in the webui settings to 2.
Sample images:
https://media.discordapp.net/attachments/528278867572424710/1036765895797788682/09785-69750433-safe_content_renamon.png
https://media.discordapp.net/attachments/528278867572424710/1036765867645603870/09627-1184405578-safe_content_lucario_anthro_male_solo_cute_clothing_adorable.png",model,generate,https://pixeldrain.com/u/uMb3Bnw6,,
SnackBar-General-V1-E11 [16d5a5c7] (torrent),SnackBar-General-V1-E11 [16d5a5c7] (torrent),"This model was trained with waifu diffusion using the top 300k images on e621 with certain tags. Use e621 tags in prompts with underscores. You might get better results if you order them as follows:

[safe/questionable/explicit]_content [artist] [copyrights] [characters] [species] [general]

For better results, set 'Stop At last layers of CLIP model' in the webui settings to 2.
Sample images:
https://media.discordapp.net/attachments/528278867572424710/1036765895797788682/09785-69750433-safe_content_renamon.pnghttps://media.discordapp.net/attachments/528278867572424710/1036765867645603870/09627-1184405578-safe_content_lucario_anthro_male_solo_cute_clothing_adorable.pngg",model,torrent,magnet:?xt=urn:btih:3e18a1d0b988f66c23a472e556ae15fed150d5cc&dn=snackbar-general-v1-e11-pruned.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.zemoj.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce,,
Furry Furry_epoch4.ckpt [323f8dd8] (torrent),Furry Furry_epoch4.ckpt [323f8dd8] (torrent),"Trained on 300k images from e621.
Tag counts: https://mega.nz/file/co0UlQ5Z#vERcoYTWGJguTsXmysbLq1NL_xBS8txQhVvPI5E3QKE or https://pixeldrain.com/u/FQwRjyyk",model,torrent,magnet:?xt=urn:btih:a9635389ae4c5583b0cc76ec8f6dce35438b3016&dn=furry_epoch4.ckpt&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2810%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fzecircle.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fyahor.ftp.sh%3A6969%2Fannounce&tr=udp%3A%2F%2Fvibe.sleepyinternetfun.xyz%3A1738%2Fannounce&tr=udp%3A%2F%2Fv2.iperson.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fuploads.gamecoast.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker1.bt.moack.co.kr%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tcp.exchange%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.swateam.org.uk%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.publictracker.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.bt4g.com%3A2095%2Fannounce,,
Furry Furry_epoch4.ckpt [323f8dd8] (generate),Furry Furry_epoch4.ckpt [323f8dd8] (generate),"Trained on 300k images from e621.
Tag counts: https://mega.nz/file/co0UlQ5Z#vERcoYTWGJguTsXmysbLq1NL_xBS8txQhVvPI5E3QKE or https://pixeldrain.com/u/FQwRjyyk",model,generate,https://pixeldrain.com/u/dtYiYN7g,,
Furry Furry_epoch4.ckpt [323f8dd8] (direct),Furry Furry_epoch4.ckpt [323f8dd8] (direct),"Trained on 300k images from e621.
Tag counts: https://mega.nz/file/co0UlQ5Z#vERcoYTWGJguTsXmysbLq1NL_xBS8txQhVvPI5E3QKE orhttps://pixeldrain.com/u/FQwRjyykk",model,direct,https://iwiftp.yerf.org/Furry/Software/Stable%20Diffusion%20Furry%20Finetune%20Models/Finetune%20models/furry_epoch4.ckpt,,
Furry Furry_epoch1.ckpt [0c891127] (torrent),Furry Furry_epoch1.ckpt [0c891127] (torrent),"Trained on 300k images from e621.
Tag counts: https://mega.nz/file/co0UlQ5Z#vERcoYTWGJguTsXmysbLq1NL_xBS8txQhVvPI5E3QKE or https://pixeldrain.com/u/FQwRjyyk",model,torrent,magnet:?xt=urn:btih:d62bc9a088b206565005cab915a58fd26da1802e&dn=furry_epoch1.ckpt&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2810%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fzecircle.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fyahor.ftp.sh%3A6969%2Fannounce&tr=udp%3A%2F%2Fvibe.sleepyinternetfun.xyz%3A1738%2Fannounce&tr=udp%3A%2F%2Fv2.iperson.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fuploads.gamecoast.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker1.bt.moack.co.kr%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tcp.exchange%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.swateam.org.uk%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.publictracker.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.bt4g.com%3A2095%2Fannounce,,
Furry Furry_epoch1.ckpt [0c891127] (direct),Furry Furry_epoch1.ckpt [0c891127] (direct),"Trained on 300k images from e621.
Tag counts: https://mega.nz/file/co0UlQ5Z#vERcoYTWGJguTsXmysbLq1NL_xBS8txQhVvPI5E3QKE or https://pixeldrain.com/u/FQwRjyyk",model,direct,https://iwiftp.yerf.org/Furry/Software/Stable%20Diffusion%20Furry%20Finetune%20Models/Finetune%20models/furry_epoch1.ckpt,,
Furry Furry_epoch0.ckpt [8c19ee5a] (direct),Furry Furry_epoch0.ckpt [8c19ee5a] (direct),"Trained on 300k images from e621.
Tag counts: https://mega.nz/file/co0UlQ5Z#vERcoYTWGJguTsXmysbLq1NL_xBS8txQhVvPI5E3QKE orhttps://pixeldrain.com/u/FQwRjyykk",model,direct,https://iwiftp.yerf.org/Furry/Software/Stable%20Diffusion%20Furry%20Finetune%20Models/Finetune%20models/furry_epoch0_ckpt,,
Zack3D_Kinky-v1.ckpt [1a75d5c6] (generate),Zack3D_Kinky-v1.ckpt [1a75d5c6] (generate),"This is a NSFW model trained from SD v1.4, great for general furry but specializes in the kinky side of art such as
Transformation, latex, tentacles, goo, ferals, bondage, and a lot more that I cant remember. Uses over 100k images all aesthetics filtered.
Prompt is raw E621 tags, so with underscores.",model,generate,https://pixeldrain.com/u/DEocAHsx,,
Zack3D_Kinky-v1.ckpt [1a75d5c6] (torrent),Zack3D_Kinky-v1.ckpt [1a75d5c6] (torrent),"This is a NSFW model trained from SD v1.4, great for general furry but specializes in the kinky side of art such as
Transformation, latex, tentacles, goo, ferals, bondage, and a lot more that I cant remember. Uses over 100k images all aesthetics filtered.
Prompt is raw E621 tags, so with underscores.",model,torrent,magnet:?xt=urn:btih:807a71d3ed3f887e41c492cf24fbd3c6f5a81534&dn=Zack3D_Kinky-v1.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fopen.tracker.cl%3a1337%2fannounce,,
Anal Vore AVHumanFurryPony7.ckpt [68e2e32d] (mega),Anal Vore AVHumanFurryPony7.ckpt [68e2e32d] (mega),"Anal vore. 7 epochs continued from Zack3D_Kinky-v1.
Tags https://mega.nz/file/FmxSnRZa#I4JgsLTiXWoFUoDrQBWfVNnooUUOxqkFHEOPuCE1Hdc
Example prompts https://mega.nz/file/hu5QnJgJ#DFmvHDuEpm7OdDkQD_wIRrCo7x8j3lqYkhC4aS-egvs",model,mega,https://mega.nz/file/4jR2WAIZ#p0A7eorXgI_ywC06zQiLcPwE3QdStEa86wwEdrDIE7A,,
R34 r34_e4.ckpt [6e45cf2c] (torrent),R34 r34_e4.ckpt [6e45cf2c] (torrent),"Fifth epoch.
Tag counts: https://mega.nz/file/4sFn0AxQ#pHDvIE5eKJC3NSNpgdEw-ve0WSlWjtsTvfpe7YaYh1Q",model,torrent,magnet:?xt=urn:btih:ed9f0e3f849d7119107ef4e072c6abeb129e1a51&dn=r34_e4.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2fpublic.tracker.vraphim.com%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2ffe.dealclub.de%3a6969%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce,,
R34 r34_e4.ckpt [6e45cf2c] (mega),R34 r34_e4.ckpt [6e45cf2c] (mega),"Fifth epoch.
Tag counts:https://mega.nz/file/4sFn0AxQ#pHDvIE5eKJC3NSNpgdEw-ve0WSlWjtsTvfpe7YaYh1QQ",model,mega,https://mega.nz/file/yJgDUCzA#zOD2yeE6QLBqPEjEpIi2b4FWOlb64yVUveOd_eW6teI,,
R34 r34_e3.ckpt [57ea6f43] (mega),R34 r34_e3.ckpt [57ea6f43] (mega),"r34 e3 (fourth epoch). Same dataset, prepended ""by"" to artist tags, artist recognition has improved a little bit (still needs to get better), character recognition has improved quite a bit.",model,mega,https://mega.nz/file/WVggzbRa#4-pcaLeLN02bdvzUwCn2QQKoLxCC7copAJHYyG4aOB0,,
R34 r34_e2.ckpt [778b68b1] (torrent),R34 r34_e2.ckpt [778b68b1] (torrent),"Third epoch, again a pretty nice improvement over the last. Dataset grew by ~3K images, with 5K removed and 8K added.",model,torrent,magnet:?xt=urn:btih:ef93096b839a54bff77c585b1ba2518bc264d0b4&dn=r34_e2.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zemoj.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.lelux.fi%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.filemail.com%3a6969%2fannounce,,
R34 r34_e2.ckpt [778b68b1] (mega),R34 r34_e2.ckpt [778b68b1] (mega),"Third epoch, again a pretty nice improvement over the last. Dataset grew by ~3K images, with 5K removed and 8K added.",model,mega,https://mega.nz/file/3JQ13JTZ#sdByZl4rXp7uxxIDutGs5GHg5RkGZfLrTA5wQEfkDJE,,
