Model_Title,Model_Name,Model_Description,Model_Type,Model_Download_link_Type,Model_Download_link,VAE_Download_link_Type,VAE_Download_link
Pixel Art V1,Pixel Art V1 (gdrive),"Info & samples https://publicprompts.art/pixel-art-v1-dreambooth-model/
Trigger phrase: SKSKS art style",Dreambooth,gdrive,https://drive.google.com/file/d/1HwiqDNm3FyxMNEZLqh7FXsMJv9wmy9bc/view?usp=sharing,,
VTT RPG,VTT RPG (generate),"A collection of models to do with D&D races and monsters.
Info & Downloads https://huggingface.co/VTTRPGResources",Dreambooth,generate,https://huggingface.co/VTTRPGResources,,
Comic Diffusion,Comic Diffusion (huggingface),"Repo https://huggingface.co/ogkalu/Comic-Diffusion
Includes 6 comic styles.

The tokens for V2 are:
charliebo artstyle
holliemengert artstyle
marioalberti artstyle
pepelarraz artstyle
andreasrocha artstyle
jamesdaly artstyle",Dreambooth,huggingface,https://huggingface.co/ogkalu/Comic-Diffusion/resolve/main/comic-diffusion-V2.ckpt,,
SD_PixelArt_SpriteSheet_Generator,SD_PixelArt_SpriteSheet_Generator (huggingface),"Allows you to generate pixel art sprite sheets from four different angles.
Repo https://huggingface.co/Onodofthenorth/SD_PixelArt_SpriteSheet_Generator

For the front view use PixelartFSS
For the right view use PixelartRSS
For the back view use PixelartBSS
For the left view use PixelartLSS",Dreambooth,huggingface,https://huggingface.co/Onodofthenorth/SD_PixelArt_SpriteSheet_Generator/resolve/main/PixelartSpritesheet_V.1.ckpt,,
midjourney-v4-diffusion,midjourney-v4-diffusion (huggingface),"Stable Diffusion fine tuned on Midjourney v4 images
Use prompt: mdjrny-v4 style
Repo https://huggingface.co/prompthero/midjourney-v4-diffusion",Dreambooth,huggingface,https://huggingface.co/prompthero/midjourney-v4-diffusion/resolve/main/mdjrny-v4.ckpt,,
BloodborneDiffusion,BloodborneDiffusion (huggingface),"This is a Dreamboothed Stable Diffusion model trained on the Bloodborne series Style.
The total dataset is made of 100 pictures, and the training has been done on runawayml 1.5 and the new VAE, with 12k steps (poly LR1e-6).
The token Bloodborne Style will bring in the new concept.
The recommended sampling is k_Euler_a or DPM++ 2M Karras on 20 steps, CFGS 7 .

Repo https://huggingface.co/Guizmus/BloodborneDiffusion",Dreambooth,huggingface,https://huggingface.co/Guizmus/BloodborneDiffusion/resolve/main/BloodborneStyle-v1.ckpt,,
samdoesarts_style [85b77ff9],samdoesarts_style [85b77ff9] (torrent),"This is a dreambooth model trained on the works of Sam Yang(samdoesarts).
trained with automatic1111 dreambooth extension
13000 steps 128 training images (256 flipped) 1500 class images 1e-6 learning rate
token for this model is samdoesarts style",Dreambooth,torrent,magnet:?xt=urn:btih:7999b19ee45d505354e50c25041f405ca8932a38&dn=samdoesarts_style.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.pomf.se%3a80%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2ffe.dealclub.de%3a6969%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fbt1.archive.org%3a6969%2fannounce&tr=udp%3a%2f%2f6ahddutb1ucc3cp.ru%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce,,
samdoesarts_style [85b77ff9],samdoesarts_style [85b77ff9] (generate),"This is a dreambooth model trained on the works of Sam Yang(samdoesarts).
trained with automatic1111 dreambooth extension
13000 steps 128 training images (256 flipped) 1500 class images 1e-6 learning rate
token for this model is samdoesarts style",Dreambooth,generate,https://anonfiles.com/JbocEcG4yd/samdoesarts_style_ckpt,,
samdoesarts_style [85b77ff9],samdoesarts_style [85b77ff9] (generate),"This is a dreambooth model trained on the works of Sam Yang(samdoesarts).
trained with automatic1111 dreambooth extension
13000 steps 128 training images (256 flipped) 1500 class images 1e-6 learning rate
token for this model is samdoesarts style",Dreambooth,generate,https://pixeldrain.com/u/4s3ntWvR,,
JWST Deep Space Diffusion,JWST Deep Space Diffusion (huggingface),"This is a fine-tuned Stable Diffusion model (based on v1.5) trained on images taken by the James Webb Space Telescope, as well as Judy Schmidt. Use the token JWST in your prompts to use the style (e.g., jwst, green spiral galaxy).

Repo https://huggingface.co/dallinmackay/JWST-Deep-Space-diffusion",Dreambooth,huggingface,https://huggingface.co/dallinmackay/JWST-Deep-Space-diffusion/resolve/main/JWST-Deep-Space.ckpt,,
